page_content,book,page,notes
"We know that we have a 47% chance of an even number every time the roulette wheel is spun. Since we are trying to determine a likelihood of 10 events happening in a row, this is a conditional probability problem. Solving these problems means that we should be multiplying the probability of one thing occurring times the probability of the other. 𝑃(𝑋|𝑌) = 𝑃(𝑋)×𝑃(𝑌) If we take the information that we have about roulette and insert these values into our equation, we get: 𝑃(𝑒𝑣𝑒𝑛) =18/38 𝑜𝑟9 19∴𝑝(𝑒𝑣𝑒𝑛|𝑒𝑣𝑒𝑛) = (9 19)2=81 361= 22% If we work this out to the ultimate end of our question, we end up at 0.05% chance that we will spin 10 even numbers in a row. This seems fine, but here comes something really counterintuitive. Let’s work out a slightly different probability: 𝑃(𝑒𝑣𝑒𝑛) =18 38=9 19,𝑃(𝑜𝑑𝑑) =18 38=9 19∴𝑝(𝑒𝑣𝑒𝑛|𝑜𝑑𝑑) = (9 19)2=81 361= 22% Wait, what? How can this be? It turns out that’s the chance of predicting sequential rules, regardless of whether they are the same or different every time, will be precisely the same likelihood! 52",Book 2_2036060.pdf,53,"Here are the notes in advanced bullet-point format:

**Conditional Probability**
==========================

* **Definition**: A probability problem that involves finding the likelihood of multiple events occurring in a specific order.
* **Formula**: 𝑃(𝑋|𝑌) = 𝑃(𝑋) × 𝑃(𝑌)

**Roulette Wheel Problem**
-------------------------

* **Given**: 47% chance of an even number on each spin of the roulette wheel.
* **Goal**: Find the probability of spinning 10 even numbers in a row.

**Solution**
------------

* **Probability of an even number**: 𝑃(𝑒𝑣𝑒𝑛) = 18/38 = 9/19
* **Conditional probability of an even number given an even number**: 𝑝(𝑒𝑣𝑒𝑛|𝑒𝑣𝑒𝑛) = (9/19)² = 81/361 = 22%
* **Probability of spinning 10 even numbers in a row**: (9/19)¹⁰ ≈ 0.05%

**Counterintuitive Result**
---------------------------

* **Alternative problem**: Find the probability of predicting sequential rules (e.g., even-odd-even-odd-...).
* **Surprising result**: The probability of predicting sequential rules is the same as the probability of spinning 10 even numbers in a row: 22%!"
"Equating Joint and Conditional Probabilities We are very close to being able to make some practical applications of this to our information security problems. You should sense from what has been covered so far that we must carefully select how we approach probability problems. It is very easy to apply the wrong formula Best simply on how we conceptualize the problem. Just because the numbers can fit into a formula, does not mean that that formula is giving us a result that is relevant for our problem. If we apply these formulas in the wrong way, we can end up with unexpected results or make poorly informed decisions. It turns out, though, that there is a very strong relationship between joint and conditional probability. In fact, we can define each of these in terms of the other. This turns out to be extremely important and very useful. Here is the algebraic relationship: 𝑃(𝑋 ∩𝑌) = 𝑃(𝑋|𝑌)×𝑃(𝑌) This might not seem like much, but we will manipulate this shortly and turn it into something very powerful. Before we do, let’s apply this problem to our current question. Remember that we got strange results when we asked what’s the probability that a card is a queen given that the card is black. The formula for a joint probability is the conditional probability multiplied by the probability of the antecedent. In this case, our antecedent would be that the card selected is black. In other words, when we multiply the conditional probability by the probability of the antecedent occurring, we arrive at the joint probability. 𝑃(𝑞𝑢𝑒𝑒𝑛∩𝑏𝑙𝑎𝑐𝑘) = 𝑃(𝑞𝑢𝑒𝑒𝑛|𝑏𝑙𝑎𝑐𝑘)×𝑃(𝑏𝑙𝑎𝑐𝑘) =2 26×1 13=1 26 53",Book 2_2036060.pdf,54,"Here are the notes on Equating Joint and Conditional Probabilities in advanced markdown format:

**Equating Joint and Conditional Probabilities**
=====================================================

**Importance of Careful Approach**
--------------------------------

* **Carefully select approach to probability problems**: Avoid applying wrong formulas or interpreting results incorrectly.
* **Understand the problem conceptualization**: Ensure the formula used is relevant to the problem.

**Relationship between Joint and Conditional Probability**
----------------------------------------------------

* **Algebraic relationship**:
	+ 𝑃(𝑋 ∩𝑌) = 𝑃(𝑋|𝑌) × 𝑃(𝑌)
* **Define each in terms of the other**: Joint probability can be expressed in terms of conditional probability and vice versa.

**Example: Card Problem**
-------------------------

* **Objective**: Find probability of a card being a queen given that it's black.
* **Formula**: 𝑃(𝑞𝑢𝑒𝑒𝑛∩𝑏𝑙𝑎𝑐𝑘) = 𝑃(𝑞𝑢𝑒𝑒𝑛|𝑏𝑙𝑎𝑐𝑘) × 𝑃(𝑏𝑙𝑎𝑐𝑘)
* **Calculation**: 2/26 × 1/13 = 1/26 × 53 = ...

**Key Concepts**
----------------

* **Joint Probability**: 𝑃(𝑋 ∩𝑌)
* **Conditional Probability**: 𝑃(𝑋|𝑌)
* **Antecedent**: The event or condition upon which another event depends."
This brings us back to reassuringly familiar and expected results. 54,Book 2_2036060.pdf,55,"Here are the notes on the provided passage:

**No notable information**
= The passage is brief and lacks substantial content, providing no meaningful information."
"It’s time for some algebraic manipulation. It turns out that there are some very interesting things that we can derive by applying some basic algebraic rules. For example, we know that multiplication iscommutative . This means that the order in which terms are multiplied does not matter. Written mathematically, we can rewrite some of our probability equations as follows: 𝑃(𝑋)×𝑃(𝑌) = 𝑃(𝑌)×𝑃(𝑋) ∴ 𝑃(𝑋 ∩𝑌) = 𝑃(𝑌 ∩𝑋) Do not dismiss this as being trivial just yet. There are some other manipulations that produce some interesting ways to view probabilities: 𝑃(𝑋 ∩𝑌) = 𝑃(𝑋|𝑌)×𝑃(𝑌) 𝑃(𝑋|𝑌) =𝑃(𝑋 ∩𝑌) 𝑃(𝑌)and𝑃(𝑌) =𝑃(𝑋 ∩𝑌) 𝑃(𝑋|𝑌) In this case, we begin with the joint probability of XandYbeing equivalent to the conditional probability of XgivenYmultiplied by the probability of Y. We can move the probability of Yto the left-hand side of this equation using algebraic rules. This yields the probability of XgivenYbeing equal to the joint probability of XandYdivided by the probability of Y. If we instead divide by the conditional probability of XgivenY, we can define the probability of Yas a ratio between the joint and conditional probabilities. 55",Book 2_2036060.pdf,56,"Here are the notes on algebraic manipulation of probability equations in advanced markdown format:

**Algebraic Manipulation of Probability Equations**
======================================================

### Commutative Property of Multiplication
* **Multiplication is commutative**: `𝑃(𝑋) × 𝑃(𝑌) = 𝑃(𝑌) × 𝑃(𝑋)`
* `𝑃(𝑋 ∩ 𝑌) = 𝑃(𝑌 ∩ 𝑋)`

### Algebraic Manipulations
* `𝑃(𝑋 ∩ 𝑌) = 𝑃(𝑋|𝑌) × 𝑃(𝑌)`
* `𝑃(𝑋|𝑌) = 𝑃(𝑋 ∩ 𝑌) / 𝑃(𝑌)`
* `𝑃(𝑌) = 𝑃(𝑋 ∩ 𝑌) / 𝑃(𝑋|𝑌)`

### Key Concepts
* **Joint Probability**: `𝑃(𝑋 ∩ 𝑌)`
* **Conditional Probability**: `𝑃(𝑋|𝑌)`
* **Probability of Y**: `𝑃(𝑌)`"
"Bayes Theorem When you first see this, it can seem like meaningless algebraic manipulation. However, it turns out that redefining these values in terms of one another has a wonderful use. Let’s imagine that we have information about 𝑃(𝑋|𝑌) but what we want to know is 𝑃(𝑌|𝑋) . Is it possible for us to find this value? Let’s see. We know that 𝑃(𝑋|𝑌) =𝑃(𝑋∩𝑌) 𝑃(𝑌)and that therefore 𝑃(𝑋 ∩ 𝑌) = 𝑃(𝑋|𝑌) × 𝑃(𝑌) . We also know that 𝑃(𝑋 ∩𝑌) = 𝑃(𝑌 ∩𝑋) . Consider the formula that we are trying to solve: 𝑃(𝑌|𝑋) =𝑃(𝑌 ∩𝑋) 𝑃(𝑋) Look! From the things that we know previously, we have a way of expressing the numerator of that equation using known values! 𝑃(𝑌|𝑋) =𝑃(𝑋|𝑌)×𝑃(𝑌) 𝑃(𝑋) What we have just derived is known as BayesTheorem . 56",Book 2_2036060.pdf,57,"**Bayes' Theorem**
=====================

### Introduction

* Bayes' Theorem is a mathematical formula that helps in updating the probability of an event based on new information.
* It is used to find the conditional probability of an event `𝑌` given `𝑋`, denoted as `𝑃(𝑌|𝑋)`, when the probability of `𝑋` given `𝑌`, denoted as `𝑃(𝑋|𝑌)`, is known.

### Formula

* `𝑃(𝑌|𝑋) = 𝑃(𝑋|𝑌) × 𝑃(𝑌) / 𝑃(𝑋)`

### Derivation

* Start with the formula: `𝑃(𝑋|𝑌) = 𝑃(𝑋 ∩ 𝑌) / 𝑃(𝑌)`
* Rearrange to get: `𝑃(𝑋 ∩ 𝑌) = 𝑃(𝑋|𝑌) × 𝑃(𝑌)`
* Since `𝑃(𝑋 ∩ 𝑌) = 𝑃(𝑌 ∩ 𝑋)`, substitute this into the equation.
* Rearrange again to get the desired formula: `𝑃(𝑌|𝑋) = 𝑃(𝑋|𝑌) × 𝑃(𝑌) / 𝑃(𝑋)`

### Key Concepts

* **Conditional Probability**: the probability of an event occurring given that another event has occurred.
* **Joint Probability**: the probability of two events occurring together.
* **Bayes' Theorem**: a mathematical formula used to update the probability of an event based on new information."
"That name might not mean much to you at first, but almost all spam filtering tools that you find in email clients and mail servers are Bayesian filters. Bayesian filters are an application of Bayes Theorem. When we use Bayes Theorem and apply it to spam, we tend to use it iteratively. This means that we will aggregate all of the probabilities of a given word appearing in a spam message versus the probabilities that the word would appear and a ham message. As we process the words, we are updating the probability that the specific message in question is ham or spam. 57",Book 2_2036060.pdf,58,"**Bayesian Filters and Spam Filtering**
=====================================

### **What are Bayesian Filters?**
* **Application of Bayes Theorem**
* Used in almost all spam filtering tools in email clients and mail servers

### **How do Bayesian Filters Work?**
* **Iterative Application of Bayes Theorem**
	+ Aggregate probabilities of a word appearing in:
		- Spam message
		- Ham (non-spam) message
* **Updating Probabilities**
	+ Process words to update probability of message being:
		- Spam
		- Ham (non-spam)"
What Bayes Theorem allows us to do is to consider an unknown message and work out the prob- ability that a particular message is spam given the presence of a specific word. It allows us to do this by using known information from past data. This means that we are able to infer or to predict something that is unknown based on easily known facts. 𝑛 ∑ 𝑖=0𝑃(𝑠𝑝𝑎𝑚|𝑤𝑜𝑟𝑑𝑖) which is computed using 𝑃(𝑤𝑜𝑟𝑑𝑖|𝑠𝑝𝑎𝑚)×𝑃(𝑤𝑜𝑟𝑑𝑖) 𝑃(𝑤𝑜𝑟𝑑𝑖) 58,Book 2_2036060.pdf,59,"**Bayes Theorem Notes**
======================

### What Bayes Theorem Allows Us to Do
* **Consider unknown messages** and calculate the probability of a message being spam based on the presence of a specific word
* **Use known information from past data** to make predictions about unknown events

### Formula
* **Bayes Theorem Formula**: ∑[𝑃(𝑠𝑝𝑎𝑚|𝑤𝑜𝑟𝑑𝑖)]
* **Computation**: 𝑃(𝑤𝑜𝑟𝑑𝑖|𝑠𝑝𝑎𝑚) × 𝑃(𝑠𝑝𝑎𝑚) / 𝑃(𝑤𝑜𝑟𝑑𝑖)

### Key Concepts
* **Inference**: making predictions about unknown events based on known facts
* **Probability**: calculating the likelihood of an event occurring"
"Lab 4: Probability, Bayes, and Spam/Phish Let’s try this out in a lab. In this lab, we are going to make use of some of the web scraping that we worked on in Day 1. You will recall that we built a Mongo database containing phishing email messages. Is it possible to use this data to produce a likelihood that an unknown message is spam? Just in case that doesn’t work out, we also have a large repository of email from the Enron scandal. This email data was made public following the collapse and subsequent legal proceedings involving Enron. The data has been conveniently broken into ham and spam categories. If needed, we can also use this to build a model and then evaluate known ham and spam to see how well our filter works. 59",Book 2_2036060.pdf,60,"Here are the notes on Lab 4: Probability, Bayes, and Spam/Phish:

**Lab 4: Probability, Bayes, and Spam/Phish**
==============================================

### Objective
* Use a database of phishing email messages to determine the likelihood of an unknown message being spam
* Explore alternative data sources, such as the Enron email dataset, if necessary

### Data Sources
* **Mongo database**: containing phishing email messages from previous web scraping exercises
* **Enron email dataset**: a public repository of emails, categorized into **ham** and **spam**, made available following the Enron scandal

### Goals
* Build a model to predict the likelihood of an unknown message being spam
* Evaluate the model using known ham and spam emails to determine its effectiveness"
"Time Domain vs. Frequency Domain Let’s take our exploration of mathematics and the application of mathematics to data analysis a bit further. In this section, we are going to look at a useful technique for identifying beaconing and other malware-like behaviors on our systems and networks. Does that sound interesting? Does it sound useful? Let’s see how it’s done. 60",Book 2_2036060.pdf,61,"Here are the notes on Time Domain vs. Frequency Domain:

### Time Domain vs. Frequency Domain
#### **Introduction**
* Exploring mathematics and its application to data analysis
* Focusing on a technique to identify **beaconing** and **malware-like behaviors** in systems and networks

#### **Context**
* Building on previous mathematical concepts to analyze data

Let me know if you'd like me to continue with the passage or topic!"
"The data that we have available on our networks and systems is frequently collected over time. We could say that it is sequential data that is represented in the time domain. Ahappens, then B happens, then Chappens, then Ahappens again, and so on. We have seen statistical tools that allow us to describe the data in various ways. One of the ways that we can describe it is to examine how frequently certain things happen. But could there be another way to look at frequency? For instance, if you think about what we have done with histograms, which are frequency plots, and then think about an FM radio or Wi-Fi signals, how could you represent a radio signal on a histogram? Could you easily identify the frequency at which the Wi-Fi is operating, finding that coherent signal in all of the noise that is occurring within the overall band? It seems as though this should be possible, but how can we do it? If that problem sounds interesting, but you cannot think of how you could do this with a histogram, don’t worry. This is not a trivial problem. However, it could be very interesting to convert from the time domain, which is how our logs are typically recorded, to the frequency domain to identify the spectraldensity1of signals. 1The spectral density is a way of analyzing our signals to determine at which frequency coherent signals are present. 61",Book 2_2036060.pdf,62,"Here are the notes on the topic of sequential data analysis in advanced markdown format:

**Sequential Data Analysis**
==========================

**Properties of Sequential Data**
---------------------------------

* Collected over time
* Represented in the time domain
* Examples: A happens, then B happens, then C happens, and so on

**Describing Sequential Data**
-----------------------------

* Statistical tools can be used to describe sequential data in various ways
* One way to describe sequential data is to examine the frequency of certain events

**Frequency Analysis**
---------------------

* Histograms are used to plot frequency distributions
* **Can we represent a radio signal on a histogram?**
	+ Identify the frequency of a Wi-Fi signal amidst noise
	+ Convert from time domain to frequency domain to analyze signals

**Frequency Domain Analysis**
-----------------------------

* **Spectral Density**: a way to analyze signals to determine the frequency of coherent signals
* Converting from time domain to frequency domain can help identify spectral density of signals"
"Let’s explore this problem a little bit more before coming up with a solution. Let’s imagine that we have a NetFlow collector running on our network. This NetFlow sensor will collect metadata describing all of the flows that occur. The data within the NetFlow repository is all recorded as unidirectional flows. This means that if we were looking at a TCP connection, for example, there would be two flows recorded. One flow would go from the originator, or client, to the responding host, or server. The second flow would go from the server back to the client. Each of the flows will record the IP addresses, the port numbers, the number of packets, the number of bytes, and other metadata related to the flow. Imagine we have this data for every connection that has occurred in our network over the last six months. It seems likely that there must be some way that we could use the data to identify whether or not there are any beacons . In this case, we are using the idea of beacon as it is used with malware. Imagine some new piece of malware infecting an endpoint. This malware could provide remote control of the host, it could steal data, or do any number of other things. However, as soon as the system is infected, it needs to “phone home”. Especially because our firewalls will typically limit what kind of inbound connections are possible, it is necessary for malware to establish outgoing connections to obtain instructions for what to do next. Many pieces of malware, and many botnet-infected hosts, will periodically connect back to a command and control server (C2 server). These periodic connections are checking to see if there are any instructions that should be executed by the malware. How often does it occur? It could be at any interval. Some of these are very aggressive, sending queries out every few seconds. Some attempt to fly under the radar, sending out a probe only once every several minutes or perhaps even less frequently. Regardless of frequency, a key point is that these connections will be periodic . This means that they occur at regular intervals. 62",Book 2_2036060.pdf,63,"Here are the notes in advanced bullet-point markdown format:

**NetFlow Collector and Beacon Detection**
=====================================================

**NetFlow Collector**
---------------------

* Collects metadata describing all **unidirectional flows** in the network
* Each flow records:
	+ **IP addresses**
	+ **Port numbers**
	+ **Number of packets**
	+ **Number of bytes**
	+ Other metadata related to the flow

**Beacon Detection**
-------------------

* **Malware** infects an endpoint and needs to ""phone home"" to receive instructions
* Malware establishes **outgoing connections** to a **Command and Control Server (C2 server)**
* **Periodic connections** are made to check for instructions
* Characteristics of beaconing:
	+ **Periodic**: connections occur at regular intervals
	+ **Frequency**: varies from aggressive (every few seconds) to stealthy (every several minutes)

Note: These notes focus on the key concepts and details related to NetFlow collectors and beacon detection in the context of malware and network security."
"Periodicity Let’s explore this idea of a periodic signal by looking at a math function that is periodic. In the slide, we have a graph of a sine wave. The sine function is periodic. This means that the values oscillate between two values, in this case, positive one and negative one, at regular intervals (or periods). This also proves to be a continuous function1. We can intuit that sine must be a periodic function when we think about what the sine function represents. We know that sine is the ratio of the height of a right triangle divided by its base. In fact, if we were to set the length of the hypotenuse to be a static value and then sweep through all possible values for the base and height, the result would trace out a circle. Circular paths are, by nature, periodic. Looking at the example in the slide, what is the frequency of this sine wave? When we are working with signals in the field of physics, we usually use hertz as the unit of measurement. This is a measure of the number of cycles, or periods, per second. If the x-axis in the graph represents seconds, then this graph shows 10 cycles in 1 second. Therefore, the frequency of this sine wave is 10 Hz. 1Recall that we previously defined a continuous function as any function that has a corresponding value in the codomain for every possible value in the domain and that the changes in the domain do not result in abrupt changes in the codomain 63",Book 2_2036060.pdf,64,"Here are the notes on Periodicity in advanced markdown format:

**Periodicity**
===============

### Definition of Periodicity
* A function is **periodic** if its values oscillate between two values at regular intervals (or periods).

### Example: Sine Function
* The **sine function** is periodic.
* The values of the sine function oscillate between **+1 and -1**.
* The sine function is also a **continuous function**.

### Why is Sine a Periodic Function?
* Sine represents the ratio of the height of a right triangle to its base.
* If we sweep through all possible values for the base and height while keeping the hypotenuse length static, we trace out a **circle**.
* Circular paths are inherently **periodic**.

### Frequency of a Sine Wave
* **Frequency** is measured in **hertz (Hz)**, which represents the number of cycles (or periods) per second.
* In the example graph, there are **10 cycles in 1 second**, so the frequency of the sine wave is **10 Hz**.

**Vocabulary Terms**

* **Periodicity**: the quality of a function that oscillates between two values at regular intervals.
* **Continuous function**: a function that has a corresponding value in the codomain for every possible value in the domain, with no abrupt changes.
* **Hertz (Hz)**: a unit of measurement for frequency, representing the number of cycles (or periods) per second."
"Since we currently have the signal in the time domain and we would like to see it represented in the frequency domain, our first attempt at solving this problem might be to use a frequency-related tool like the histogram. However, the histogram proves inadequate. Notice the output of the histogram when we graph all of the values of this 10 Hz sine wave. We can see that the bins containing -1.0 and 1.0 occur most frequently, while the values around 0.0 occur the least frequently. This should give us an inkling that the kind of frequency we are measuring here is somehow different. The key to this problem revolves around us defining frequency in terms of a period rather than how many times something happens. These turn out to be quite different. 64",Book 2_2036060.pdf,65,"Here are the notes in advanced bullet-point format:

**Frequency Domain**
=====================

* Need to represent signal in **frequency domain** from **time domain**
* Initial attempt: use frequency-related tool, but **histogram is inadequate**

**Histogram Limitations**
---------------------

* Output of histogram for 10 Hz sine wave:
	+ Bins containing **-1.0 and 1.0** occur most frequently
	+ Values around **0.0** occur least frequently
* Indicates that frequency measured is different from expected

**Defining Frequency**
-------------------

* Key to problem: defining frequency in terms of **period** rather than **how many times something happens**
* Period and frequency are **distinct concepts**"
"Before we move on from this, let’s just make sure we understand why this graph makes sense, and why it’s not what we need. A histogram counts how frequently specific values occur. If you think of the graph of a sine curve, you could think of starting at the top of the curve and then shooting down like a roller coaster all the way to -1. Once we reach this value, we turn and begin our trek back up until we meet the next peak at 1.0. Consider what’s happening with the slope. As we reach the value of 1 or -1, the slope flattens out to 0. However, the slope through 0 is always 1, or -1. In other words, the sine curve moves through values surrounding 0 far more quickly than it moves through the values at either the top or bottom of the curve. We can make changes to the curve to speed it up or to slow it down, but this will make no change in the histogram that we see. Certainly, there will either be more or fewer values overall in the same time window, but the relationship between the frequency with which each value appears will not change. We can also change the amplitude, or the power, in the same way. This will change our histogram since the top and bottom of the curve will change, either going up or down depending on if we are making a larger amplitude or smaller amplitude. No matter what change we make, the sine wave is still cycling periodically. It is the frequencywith whichthecyclesoccur that we are really seeking to measure. This is why the histogram is the wrong tool. 65",Book 2_2036060.pdf,66,"Here are the notes on the topic in advanced bullet-point format:

**Understanding the Sine Curve and Histogram**
=====================================================

### Key Concepts
* **Histogram**: counts the frequency of specific values
* **Sine Curve**: a periodic curve that oscillates between -1 and 1

### Characteristics of the Sine Curve
* The slope of the sine curve:
	+ flattens out to 0 at values of 1 or -1
	+ is always 1 or -1 at values surrounding 0
* The sine curve moves quickly through values surrounding 0 and slowly through values at the top or bottom of the curve

### Effects of Changes to the Sine Curve
* Changing the **amplitude** (power) of the sine curve:
	+ affects the histogram by changing the top and bottom of the curve
	+ increases or decreases the frequency of values
* Changing the **frequency** of the sine curve:
	+ does not affect the histogram
	+ changes the rate at which the curve cycles periodically

### Limitations of the Histogram
* The histogram is not suitable for measuring the frequency of cycles in the sine curve
* It is the **frequency of cycles** that we are trying to measure, not the frequency of specific values"
"This means that we have identified the real heart of our problem. The thing that we are seeking to identify is periodic behavior. More than this, we are seeking to identify what the frequency of those periods are. If we think of this in terms of malware beacons, we are asking two questions: Are there beacons? If there are, how frequently are they connecting back for instructions? We are sure you can sense that this would be a very useful analysis to conduct. The mathematics behind it are somewhat complex. 66",Book 2_2036060.pdf,67,"Here are the notes on the topic in advanced bullet-point markdown format:

**Problem Identification**
==========================

* The core problem is identifying **periodic behavior**
* The goal is to determine the **frequency of those periods**

**Malware Beacon Analysis**
---------------------------

* Identifying if **beacons** exist
* Determining the **frequency of connections** for receiving instructions

**_complex mathematics involved_

Let me know if you'd like me to help with anything else!"
"Let’s put this into pictures. Consider the activity in the slide above. Let us say that the data above represents packets per second over 1000 seconds. We are interested in identifying periodic activity. What if we could apply some kind of transformation that could turn the graph on the top into the graph on the bottom? In the bottom graph, this is perhaps indicating that something is happening once every 100 seconds or any frequency of 0.01 Hz. Notice in the bottom diagram how obvious it is that there is a clear and coherent signal occurring at a specific frequency. While there are all kinds of other “noise”, coherent signals stand out clearly. Rather than simply giving you the formula, we would like to lead you on an intuitive journey toward the solution we will use. Hopefully, this will assist you in understanding how this mathematical tool works, what its limitations are, and how we can experiment with it to find interesting activities within our environments. Whoever thought you would use math to do threat hunting! 67",Book 2_2036060.pdf,68,"Here are the notes on the passage in advanced bullet-point markdown format:

**Time Series Analysis**
======================

### Identifying Periodic Activity
* Goal: Identify **periodic activity** in a graph representing packets per second over 1000 seconds
* Desire: Transform the top graph into the bottom graph to reveal a clear and coherent signal at a specific frequency (e.g., 0.01 Hz)

### The Problem
* Top graph: Noise dominates, making it hard to identify patterns
* Bottom graph: Coherent signal stands out at a specific frequency amidst noise

### Intuitive Journey
* Rather than providing a formula, we'll explore a **mathematical tool** to help us understand:
	+ How it works
	+ Its **limitations**
	+ How to experiment with it to discover interesting activities in our environment
* **Threat hunting** with math!"
"Let’s take a short digression into the topic of infinite series. An infinite series is a mathematical construct that can be used to represent irrational numbers, calculate approximations, and explore other interesting ideas. We’d like to take a few moments to explain how we can construct an infinite series that can be used to approximate the value of sine over a range of values. Why are we doing this? The biggest reason is that the signals analysis tools we will use at the end of this section are based on infinite series. Another reason is that sine is a periodic signal, so this is all directly related to where we are heading. As we have previously stated, we know that the sine of an angle is defined as the ratio of the side of a right triangle opposite that angle divided by the hypotenuse. We could also state this as the ratio of the height divided by the base. If we have an actual right triangle on hand and a very accurate ruler, we could calculate the value of any angle by measuring the sides and performing the division. What if we would like to work out the value of a specific angle and we don’t have a triangle that we can measure? What if we would like to create a table listing the values of sine, or a function that can give us an approximate for the values of sign? Is there some formula that we can derive, a general way of calculating the correct value of sine for any arbitrary angle? Your first instinct might be that there must be something we can do using algebra. Solving this prob- lem using only algebra, however, proves very elusive. In fact, most of us when learning trigonom- etry were forced to memorize specific values of sine, cosine, and tangent so that we could solve trigonometric problems. Rather than using mathematics tools that could approximate the answer, we would instead do a rough approximation based on the values that we had memorized. This isn’t an ideal solution. It certainly does not give us a mechanism for determining a highly accurate value for any arbitrary angle. 68",Book 2_2036060.pdf,69,"**Infinite Series and Approximating Sine**
=====================================================

### Introduction to Infinite Series
* **Infinite series**: a mathematical construct used to represent irrational numbers, calculate approximations, and explore other interesting ideas.

### Motivation for Approximating Sine
* **Reason 1**: signals analysis tools used later in the section are based on infinite series.
* **Reason 2**: sine is a periodic signal, and this is directly related to the topics that follow.

### Definition of Sine
* **Sine**: the ratio of the side of a right triangle opposite an angle to the hypotenuse (or the ratio of the height to the base).

### Problem: Calculating Sine without a Triangle
* **Challenge**: calculate the value of a specific angle without a physical triangle to measure.
* **Goal**: derive a formula or method to calculate the correct value of sine for any arbitrary angle.

### Limitations of Algebraic Methods
* **Difficulty**: using algebra alone to solve this problem is very elusive.
* **Traditional approach**: memorize specific values of sine, cosine, and tangent to solve trigonometric problems, which is not ideal for determining highly accurate values for any arbitrary angle."
"Infinite Series As promised, this class is not a rigorous class. This means that we are not going to provide proofs for anything, and we will ask you to simply believe that certain things are true. To solve the problem that we are considering for an approximation of sine, we are going to need to make use of some calculus tools. When you learn differential calculus, you learn a series of rules that can be used to determine the derivative of functions. In simple terms, the derivative of a function tells you what the slope of the function is. More generally, it is a way of expressing how the value of one term changes relative to another. One such rule is the PowerRule . When learning calculus, you normally struggle through several weeks of calculating derivatives manually. It can take pages of algebraic manipulations to come up with the solution to a single problem. After this grueling experience, the first tool for calculating derivatives to which you are introduced is this Power Rule. The simplicity of the Power Rule is that you use the exponents of theindependentvariable1and multiply them by the coefficients, subtracting one from the value of the exponent. For example: 𝑓(𝑥) = 2𝑥2+3 𝑓′(𝑥) = 2×2×𝑥+0×3 = 4𝑥+0 Why is 3 multiplied by 0? Because we could also write that equation as 𝑓(𝑥) = 2𝑥2+ 3𝑥0. Therefore, when we multiply 3 by the power to which 𝑥is raised, we arrive at the value of ero. 1Independent variables can be thought of as causes and dependent variables as effects . In the formula 𝑦 = 𝑚𝑥+𝑏 , 𝑥is independent and 𝑦is dependent. Specifically, 𝑦is dependent on 𝑥. 69",Book 2_2036060.pdf,70,"Here are the notes on Infinite Series and Calculus in advanced markdown format:

**Infinite Series and Calculus**
==============================

**Importance of Calculus Tools**
--------------------------------

* In approximation of sine, calculus tools are necessary
* No proofs will be provided, and assumptions will be made

**Derivatives and Calculus**
-------------------------

* **Derivative**: measures the slope of a function and how one term changes relative to another
* **Power Rule**: a rule for calculating derivatives
	+ Multiply the exponent of the independent variable by the coefficient
	+ Subtract one from the exponent's value
	+ Example: 𝑓(𝑥) = 2𝑥² + 3, 𝑓′(𝑥) = 2 × 2 × 𝑥 + 0 × 3 = 4𝑥 + 0

**Independent and Dependent Variables**
----------------------------------------

* **Independent variable**: cause (e.g., 𝑥 in 𝑦 = 𝑚𝑥 + 𝑏)
* **Dependent variable**: effect (e.g., 𝑦 in 𝑦 = 𝑚𝑥 + 𝑏)

Let me know if you'd like me to clarify or expand on any of these points!"
"We can also use the inverse of the paragraph to calculate the anti-derivative or integral. All this means is that we are starting with a function like 𝑓(𝑥) = 4𝑥 and attempting to determine what higher order function it is the derivative of. To do this, we just reverse the process: 𝑓′(𝑥) = 4𝑥 4𝑥2 2+𝑐 = 2𝑥2+𝑐 In this result, 𝑐represents some constant. What should the value of that constant be? We cannot tell. In effect, the process of differentiation eliminated all trace of that value from the resulting derivative. What we have calculated here is known as the indefiniteintegral . Why indefinite? Because we don’t know the value for 𝑐.𝑐could be ero, but it could also be any other value. It is in this sense that the integral is indefinite. 70",Book 2_2036060.pdf,71,"Here are the notes on the topic of calculating anti-derivative or integral in advanced markdown format:

**Calculating Anti-Derivative or Integral**
=====================================

**Key Concept:** Calculating the anti-derivative or integral of a function involves finding the higher order function of which the given function is the derivative.

**Given Function:** The given function is **f(x) = 4x**.

**Process:** To calculate the anti-derivative or integral, we reverse the process of differentiation.

**Calculation:** f'(x) = 4x → ∫f(x)dx = **x^2 + c**, where **c** represents some constant.

**Indefinite Integral:** The calculated result is known as the **indefinite integral** because we don't know the value of **c**. **c** could be 0, but it could also be any other value.

**Reason:** The process of differentiation eliminates all traces of the constant value from the resulting derivative, making the integral indefinite."
